ngiemboon,en
jú,yours 
jú,your 
jú,your 
jú,for you 
Apɔ̀ɔn yɔ́ɔn kɔ́gɔ páʼɔɔn mbà jú zɔ̌ kɔʼɔ́ kɔ́g.,My bag is small even though yours should be.
jú,you
jú, also 
"Páʼ pɔ́ pfǒ gi la, tó jú pɔ́gɔ pfó yɔɔn.","As they passed this way, come also we pass this way."
jù,yours 
jù,your 
jù,your 
"Pɔ́gɔ̀ lɔɔn ńkwɛ́ ndá yɔ̀ɔn ngùʼɔɔn, fʉ̀ʼ páʼɔɔn pɔ́gɔ̀ kwɛ́ jù.","If we build my house this year, next year we will build yours."
Jû,Bazou
jùa,aluminium
jùmo,dry
jùbe,dry
Jùbe tsetsáʼ té kwɔ́ʼ shúm léjÿó mboŋó wɔ.,Dry land does not produce food well.
júbo ntaŋ,foundation
jùbe,dry
jùmo,dry
jǔɔ mvfò ,yesterday
 jǔɔ gẅie à ka tɔ̌g,yesterday
jǔɔ,yesterday
jǔɔ nzèm ,tomorrow
 jǔɔ gẅie à ne ntóo,tomorrow
jǔɔ,tomorrow
jǔɔ ,yesterday
 jǔɔ mvfò,yesterday
jǔɔ gẅie à ka tɔ̌g,yesterday
jǔɔ ,tomorrow
 jǔɔ nzèm,tomorrow
jǔɔ gẅie à ne ntóo,tomorrow
jǔɔ ,yesterday
 jǔɔ gẅie à ka tɔ̌g,yesterday
jǔɔ mvfò,yesterday
jǔɔ ,tomorrow
 jǔɔ gẅie à ne ntóo,tomorrow
jǔɔ nzèm,tomorrow
júʼ,yam 
júʼu féfɔ́gɔ,sp. West African yam
júʼu kwéʼe tÿǒ,sp. West African yam
júʼu zigé,sp. West African yam
júʼu ngwá,sp. West African yam
jùʼu ngyá,audio-visual
jùʼu ngyá, television
jùʼu shwóŋ,communicator
jùʼu shwóŋ, radio
jùʼu shwóŋ, canary
jùʼu shwóŋ, snitch
júʼu sẅìŋ,sp. West African yam
júʼu ngwá,sp. West African yam
júʼu zigé,sp. West African yam
jʉ́a,funnel
yege,yours and ours 
jʉ́gè,yours and ours 
yege,yours and ours 
jʉ́gè,yours and ours 
yege,yours and ours 
jʉ́gè,yours and ours 
yege,ours 
jʉ̀ge,ours 
yege,our 
jʉ̀ge,our 
yege,our 
jʉ̀ge,our 
