ngiemboon,en
pɔ̀ɔn lyɛb,k. shoulder sack
pɔ̀ɔn mbwɔ̀ʼɔ,k. sack
pɔ̀ɔn mbÿɛ̀,k. fibre sack
pɔ̌ɔn mmó,plaque
pɔ̌ɔn mmó, sheet
"Mé ně ńdɔgɔ pɔ̌ɔn mmó, ńtsɛ́ɛ ncwò kɔ̀ʼ.",We closed the portico with the plate.
pɔ́ɔn ndè,k. outfit for prominent citizens
pɔ̀ɔn ngùb,k. leather sack
pɔ̀ɔn nkàʼ,k. backpack
pɔ̀ɔn sẅíŋ,k. fibre sack
pɔ̀ɔn syɛ́ʼ,k. sack
pú,adventure
pú,yours (second person singular possessive pronoun referring back to class 2 nouns)
pú,your (second person singular possessive adjective modifying class 2 nouns)
pú,your (second person singular emphatic possessive adjective modifying class 2 nouns)
"Menɔ̀ɔn pie n gyǎ pǐ, epú ée mǒ.","The animals I saw outside, there are yours among them."
pùalô,leek
shʉ́shÿó ndÿɔgɔ́,chili pepper
shʉ́shÿó ndÿɔgɔ́, capsicum
shʉ́shÿó ndÿɔgɔ́, red pepper
pùavolóŋ,chili pepper
pùavolóŋ, capsicum
pùavolóŋ, red pepper
pùb,sound of a casserole lid falling onto dust or sand
Nzìŋe lekʉŋ gwě na pfepfɔ́b lê pùb.,The lid fell on the dust that “pùb”.
pùbpùb,sound of the flame of a lamp that goes out
"Lâm ne ńgӱo lê pùbpùb, ńgee mbyě.",The lamp is going “pùbpùb” to turn off.
pùm,weevil
pùm peláŋ,xylophage
pùm peláŋ, wood-eating insects
nò té tsẅe pàa,diverse
nò té tsẅe pàa, varied
pùmo ngɔɔn,diverse
pùmo ngɔɔn, varied
púɔ,children
púɔ mefʉ̀ʼ,minutes
púɔ ngùɔ,ladies
púɔ ngùɔ, girls
púɔ panzwě,ladies
púɔ panzwě, young ladies
púɔ shùm,young men
púɔláʼ,purifying priests
pupú,idiot
