ngiemboon,en
kátsyé mànku,sp. cricket 
katúʼ,serviceman
katúʼ, soldier
tùʼu,k. bowl made from a calabash
kàtùʼu,k. bowl made from a calabash
katẅɛ̀,cleanliness
káʼa,so that
káʼa, even though
À gɔɔn ngie à tè pfɛ́ wɔ́ káʼa nzyè ké ne ńgyáŋa yé gyǎŋ.,He says he must not eat while he is still hungry.
kàʼa,calabash for wine 
kàʼte,cheerfulness
ké,all the same 
Tâm ké tó tó.,Tâm still came.
kě,perfective counter-expectation today past
À kě ńtó tó.,It just arrived anyway.
kɛ̂,what
kee,what
À gɔ̌ɔn ngie kee? Ńgie à ne ńguɔ káa?,"He said what? He's sick, isn't he?"
keen,already 
À keen ńtó.,He has already come.
keen,that
Pi faʼa légɔɔn ngie pi kaa júʼu keen?,You mean you don't understand?
nkéen,emphatic perfective counter-expectation yesterday past
kéen,emphatic perfective counter-expectation yesterday past
Gubé yé kéen ńgwáʼa yé ńgʉa lé túm metsèm.,His children all abandoned him to go abroad.
kěen,already 
"Ɔ̀ kěen ńtó, tà ńzye leshwóŋo shwǒŋ.",You've already come so far as to start chatting.
nkěen,emphatic perfective counter-expectation today past
kěen,emphatic perfective counter-expectation today past
"Ɔ̀ kěen ńtó, tà ńzye leshwóŋo shwǒŋ.",You've already come so far as to start chatting.
kège,incident
kège, discord
kège, scaly
kègɔ̀ʼ,avarice
kègte,scale
kègte, shell
kéjyága,pellet bell anklet
kèkàg,basket
kèkàg,crate
kékáŋ,in vain
kékáŋ, unsuccessfully
"À pǐ nkáb yɔ̀ɔn, n kẅé kékáŋ.","He took my money, I asked for it in vain."
kekáŋa letÿǒon,bagasse from palmnuts
kekàʼa,reed
kekàʼa, elephant grass
kekàʼa, Napier grass
kekàʼa ndóŋ,wrinkle duck beak
kekàʼa ndóŋ, saromacca grass
kěkě,absolutely nothing
Mèŋ ee te kěkě.,I'm nothing at all.
