ngiemboon,en
cú,depth
cǔ,tube whistle 
ffo ndèpàʼ,tie
cú ntóŋ,tie
cúa,sp. West African yam
cùɔ nzẅé,knocker
cùa nzẅé,knocker
cúa páb,sandal
cúa páb, samara
cúa páb, slipper
cúa páb,k. trap
cùb,mixture
cùb, collection
cùb, component
cùb, assembly
Mèŋ n nǔ mecùbo melùʼ.,I drank a mixture of wines.
cùbte,collection
cùbte, compound
cùbo,collection
cùbo, compound
Yɔɔn cùbte mekwɔ̀ʼɔ.,This is a collection of stools.
cùbo,collection
cùbo, compound
cùbte,collection
cùbte, compound
Yɔɔn cùbte mekwɔ̀ʼɔ.,This is a collection of stools.
cúcum,sp. fish
cukúlù,pyjamas
cúkwɛ,sparrow
cǔm,sound of a big object falling into water
À cʉmé ntse lê cǔm.,He threw himself into the water that “cǔm”.
cùa nzẅé,knocker
cùɔ nzẅé,knocker
cûu,very soft
Apʉ́a pÿɛ́ɛ lê cûu.,The taro is very soft.
cúʼtè,meeting
cùʼupfɔ́g,goat and other things for the widow’s ceremony
cʉ̀,stress
cʉ̀,stare
cʉ̀,banality
cʉ̀a,necklace
À jÿɔʼɔ cʉ̀a sẅé lóŋ yé.,He wears a new necklace on his neck.
cʉa nò,delicate problem
tsɔ̀ɔn nzsó,red-leaved fig
cʉ̀a nzsó,red-leaved fig
Cʉ̀apʉ̀a,God
Cʉ̀apʉ̀a,god
cʉ̀cʉ̀a,rat 
cʉ̀cʉ̀ŋ,kid
cʉ̀cʉ̀ŋ, very small child
cʉ̀cʉ̀ŋ,childish behaviour
