ngiemboon,en
pege,we 
Pege jʉʼɔɔn ńgÿo kɔ́?,What are we doing here?
pege,"our, inclusive "
À ka kuu nkáʼ pege.,He entered our field.
pége,sound
pége, failure
pége, bewilderment
pégè,"ours, inclusive "
pégè,"our, inclusive "
pégè,"ours, inclusive "
"Epɔ́b pʉ̀a ně ndáʼ ńtó, epégè gwɔ́ pɔ́ nzɔ̌?","Their people have since come, where are ours then?"
Pʉ̀a pége gÿɔ́ɔn.,Our people are a lot.
pekʉ,small
pekʉ, little 
pelâg,plaque
pelâg, sheet
peláŋ,plan
peláŋ,project
peláŋ,plank
peláŋ, board
pelé,joke
pelé, amusement
péle,addition
péle,branch
péle lezíŋ,first name
"Mèŋ n zɛté lezíŋ múɔ, á ná pɔ́ péle lezíŋ.","I asked the child's name, he only gave the first name."
pèle mpfóŋ,k. cultural dance
pélékùa,four 
mênjwò ,groundnut 
 mbèyáŋ,groundnut 
péli,groundnut 
péli galèwà,sp. groundnut 
péli láʼ,sp. groundnut 
péli lɔ̀ɔn ssé,sp. groundnut
péli ngǎndéle,sp. groundnut 
péli syɛ̀b ntsɔ̀ʼ,sp. groundnut
péli tÿǒ,sp. tree
péli tÿɔ̀ʼ ntsɛ́,sp. groundnut
pelʉ̌,rotten 
À pfɛ̌ menɔ̀ɔn pelʉ̌.,He ate the rotten animals.
pelÿò,great 
pembǐ,available 
pembòŋo,better 
"Líe mekúnɔ̀ɔn pembòŋo, mèŋ n ge jú.","Look at the best pigs, I will buy."
