ngiemboon,en
ya,that ... there
ya, those ... there 
Ɔ̀ pǐŋ ńgÿo lêkɔ́ na pɔ̀ɔn ya?,What did you do with that bag?
yàa,
Yàa! Á kɔ́ gie ɔ̀ gÿo pɛ́ʼɛ̀?,“Yaa”! What are you doing like that?
yalʉ́ŋ,buckle
yaléŋ,buckle
yaléŋ,buckle
yalʉ́ŋ,buckle
yáŋ,bamboo leaf mat
yàŋa yáŋa kẅìʼfùɔ,sp. plant
ye,his 
ye,his 
ye,his 
ye,for him 
"Mepɔ̀ɔn mɔɔn, kaa ye .","Here are these bags, carried for him ."
ye,that of 
ye,those of 
Apɔ̀ɔn Tâm pɔ́ ye míŋ we té poŋ.,Tam's bag and that of her child are not good.
ye,by 
Ɔ̀ pfǒ ye nzɔ̌ tá ńgwɔ́ jʉʼɔɔn.,Where did you go before getting here?
yé,his 
yé,his 
yé,his 
"Tà á pɔ́ɔn lékaa káŋ yɔ́ɔn, à kaa pɔ́ yé.","Let him not carry my plate, let him carry his own."
Mèŋ la lúɔ pɔ̀ɔn yé á lʉʼ.,"I asked for his bag, he refused."
yé,him
yé,him
yé, also
yé, equally 
N díe yé.,I look at him.
Tâm leʼé shúm lejÿó sé,Tam kept his food
Tâm leʼé shúm lejÿó sé, the child kept his too.
 múɔ leʼe sé yé.,Tam kept his food
 múɔ leʼe sé yé., the child kept his too.
yê,
Yê! Yɛ̂ kɔ́ gie ɔ̀ gÿo tà á sẅíʼi nzẅìŋ gú?,Hey! What do you do so well that it degrades you?
yée,
Yée! À gwǎʼ nkab.,“Yee”! He threw the money away.
yeféfɔ́gɔ,white
yeféfɔ́gɔ,white
yeg,ours 
yeg,our 
yeg,our 
"Ɔ̀ lɔɔn ńjú mbab, ɔ̀ ná yeg.","If you buy the meat, you give ours."
yég,also
yég, equally
Ɔ̀ nǎa pɔ̀ɔn yɔ́b. Náa yég yég.,You gave them the bag. Give ours too.
yég,ours 
yég,our 
yég,our 
"Tè nyé ŋwàʼne gí, ḿbíi yég.",Don't leave your letter to read ours.
jʉ̀ge,ours 
yege,ours 
jʉ̀ge,our 
yege,our 
jʉ̀ge,our 
yege,our 
"Nzsǒ yɛ̂, ee yege.",This outfit is ours.
À maʼ nzsǒ yege.,He wears our clothes.
Maʼ yege nzsǒ.,Wear our clothes.
jʉ́gè,yours and ours 
yégè,yours and ours 
jʉ́gè,yours and ours 
yégè,yours and ours 
jʉ́gè,yours and ours 
yégè,yours and ours 
"Tè tóŋo ŋwàʼne yé, tóŋ pɔ́ yégè.","Don't read his letter, just read ours."
yekʉ,small
yekʉ, little 
Náa pɔ̀ɔn yekʉ né mèŋ.,Give me the little bag.
yélékùa,four 
yelʉ̌,rotten 
À jÿǒ nkandi yelʉ̌.,He ate the rotten banana.
yelÿò,great 
yembǐ,available 
Apɔ̀ɔn gi áa yembǐ.,This bag is takeable.
yembòŋo,better 
