ngiemboon,en
"Anò gie n gee ńgɔɔn, áa nénʉ́. Nyìŋ lɔɔn ne ńtsɔ́ɔn légwɔ́ ndìe cúʼtè pʉ̀a Keleto, mbà à tsɔ́ɔn fàʼ gie á gẅiin mekùʼ. ","This saying is trustworthy:   “If anyone aspires to be an overseer,  # 3:1 Or bishop, or pastor,# 3:1 Ac 20:28; Php 1:1; Ti 1:7 he desires a noble work.” "
"Á zɛ́te ngie ndìe cúʼtè pʉ̀a Keleto gwɔ́ nyìŋ gẅie mé té kíme yé té poŋ wɔ́. Á zɛ́te ngie à gẅiin pɔ́ tàʼ manzwě wémɔʼɔ́, tà á gÿo tsɔ́ mmó tà á cʉa. À gwɔ́ nyìŋ gẅie à sáŋa nò tá ńgÿo, ńgwɔ́ nyìŋ gẅie mé ná mekùʼ mé, ńgwɔ́ nyìŋ gẅie à kúe megʉ̀ mboŋó, ńkuʼu lézíʼi pʉ̀a mmó. ","An overseer,   therefore, must be above reproach, the husband of one wife, self-controlled, sensible,  # 3:2 Ti 2:2,5 respectable, hospitable,  # 3:2 Lv 19:34; 1Pt 4:9; 2Jn 10 able to teach, "
"Á té zɛ́te ngie à gwɔ́ nyìŋ gẅie à maʼ mbùm yé na melùʼ wɔ́, ngie à sáʼ mbʉ̀ʼ wɔ́. Á zɛ́te ngie à gwɔ́ nyìŋ gẅie à pʉlé, á nyìŋ gẅie à te ntsaŋ faʼ. Tà á gwɔ́ nyìŋ gẅie à záb ntʉ́m wé na nkáb. ","not an excessive drinker, not a bully but gentle, not quarrelsome, not greedy.   "
"À gwɔ́ nyìŋ gẅie à líe mbʉ̀a ye mboŋó, ńgwɔ́ nyìŋ gẅie à gẅiin penkʉ́ pé na ntí gie pɔ́ ge júʼ ncwò wé, é gÿo mekùʼ mé. ",He must manage his own household competently and have his children under control with all dignity. 
"Nyìŋ lɔɔn ńzɔɔn te zsé lélíe mbʉ̀a yé wɔ́, á líe cúʼtè pʉ̀a Ssé lêkɔ́? ","(If anyone does not know how to manage his own household, how will he take care of God’s church?) "
"Á té ne ńzɛ́te ngie nyìŋ gẅie à líe cúʼtè, à gwɔ́ nyìŋ gẅie à ka nyě tá ńgwɔ́ nyìŋ Keleto wɔ́, mbà ngwɔ́ á kúu ńŋáʼte nnɛ́, éfʉa nò, ńgwe ntsaŋ páʼ Sátà. ","He must not be a new convert, or he might become conceited and incur the same condemnation as the devil.   "
"Á gíŋ ńne ńzɛ́te ngie à gwɔ́ nyìŋ gẅie pʉ̀a pie é té pʉ̀a Keleto wɔ́, é kíme yé pɔ́ mboŋó. Púʼu, etsɔ́ menò mé mie ngwɔ́ mé kem, é le gwɔ́ wó wɔ́, Sátà le kuʼu lélʉʼ lekÿo tà ńdɔg ńgwoon yé wɔ́.","Furthermore, he must have a good reputation among outsiders, so that he does not fall into disgrace and the devil’s   trap."
"Á gíŋ ńzɛ́te ngie pafaʼ mefàʼ tsɛ̀ɛ cúʼtè pʉ̀a Keleto gwɔ́ yɔ́b pʉ̀a pie é gẅiin mekùʼ, ńgwɔ́ pashwóŋo nò nénʉ́, ńgwɔ́ pʉ̀a pie é té maʼ mbùm yɔb na melùʼ wɔ́, ńké le gwɔ́ pʉ̀a pie é kwoŋ nkáb ngate gaté wɔ́. ","Deacons,   likewise, should be worthy of respect, not hypocritical, not drinking a lot of wine, not greedy for money, "
"Á zɛ́te ngie pɔ́ kúʼte nò nénʉ́ gie á laa lelyěen, e Ssé nyɛɛ wégè, ńkúʼte na ntí gie mbùm yɔb te cúɔ wɔ́b wɔ́. ",holding the mystery of the faith   with a clear conscience.  # 3:9 Heb 13:18 
"Á zɛ́te ngie mé zɔɔn ḿvɔg ńtsaʼa wɔ́b mboŋó, ńgwɔ́ gie mé lɔɔn te lɔ̌ʼ yɔ́b gyá, mé leen ńké ńdɔgɔ wɔ́b ńgÿo pafaʼa tsɛ̀ɛ cúʼtè pʉ̀a Keleto. ","They must also be tested first; if they prove blameless, then they can serve as deacons. "
"Á gíŋ ńzɛ́te ngie panzwě pɔ́b gíŋ ńgẅiin mekùʼ, pɔ́ le gwɔ́ ngàŋ melɔ̀ɔn wɔ́, pɔ́ le gÿo tsɔ́ mmó tà á cʉa wɔ́, ńgwɔ́ pʉ̀a pie à lɔɔn ngwɔ́ pɔ́ gÿo kɔ̀ɔkɔ́ɔ gie mé cʉmé mbwó pɔ́b tà mé le lɔ̌ʼ mǒ gyá. ","Wives,  ,# 3:11 1Pt 3:1–6 likewise, should be worthy of respect, not slanderers, self-controlled,  # 3:11 Ti 2:2 faithful in everything. "
"Á zɛ́te ngie pafaʼ mefàʼ tsɛ̀ɛ cúʼtè pʉ̀a Keleto gẅiin pɔ́ tàʼ tàʼ manzwě, ńdíe membʉ̀a mɔ́b mboŋó, tà mbɔɔ penkʉ́ pɔ́b. ","Deacons are to be husbands of one wife, managing their children and their own households competently. "
"Pafaʼ mefàʼ tsɛ̀ɛ cúʼtè pʉ̀a Keleto lɔɔn faʼa fàʼ mboŋó, mbà mé ge na mekùʼ mɔ́b, pɔ́ kuʼu légɔɔn nò gie pɔ́ zába ntʉ́m na Yěsô ńtíi yɛ̌, tà pɔ́ le pɔ́g.",For those who have served well as deacons acquire a good standing for themselves and great boldness in the faith that is in Christ Jesus.
"Timotê, n ne ńkwaŋa ngie n te láte tá tó gyá gú wɔ́. N ké ńŋweʼe yɔɔn ŋwàʼne, ńnáa mbwó gù páʼɔɔn, ","I write these things to you, hoping to come   to you soon. "
"légwɔ́ gie n dɔɔn te tɔ́g ńtó wɔ́, ɔ̀ tóŋo yɔɔn ŋwàʼne, ńjúʼ páʼ pʉ̀a pie Ssé ee tá wɔ́b gẅiin légiŋ púʼu, á tsɛ̀ɛ cúʼtè yɔ́b. Ayɛ̌ cúʼtè áa ye pʉ̀a Ssé gie ee ntʉ̀ntʉ̀. Á tÿɔ́g ntóon gie e tyé ndʉŋndʉŋ na nò gie áa nénʉ́ tà ńgíŋ ńjÿɔ́ʼ tsɔ̌. ","But if I should be delayed, I have written so that you will know how people ought to conduct themselves in God’s household,   which is the church of the living God,  # 3:15 Mt 16:16; 1Tm 4:10 the pillar and foundation of the truth.  # 3:15 Ps 119:142; 2Co 11:10; 2Th 2:10 "
"Áa nò ngie anò nénʉ́ gie Ssé la gÿo pege zsé, á piŋ ńnyɛɛ wégè páʼ ngwɔ́ pege giŋe na mánzsè Ssé púʼu, anò nénʉ́ ŋwɛ́ á pú fáŋ tɛʼ; áa ngie:","And most certainly, the mystery of godliness   is great:"
