en,ngiemboon
tsétsáʼ pfòŋ,deception
fʉ̀te,deception
ńzáb,decide
ńzáʼa kwɛ̀te,decide to hurt someone
mbíɛ,"decoction, purification"
ńkẅiŋ,decorate
ńkwɔ́ʼɔ gyɛ,dedicate
ḿmeʼe,"deep, be"
ésag ngʉa ssé,"deep, be"
nẅèen nkẅíʼ,deep-freeze
letʉŋ,deep water
leteŋ,deep water
ńnʉ,defecate
ńnʉte,defecate here and there
lɔ̀g ntʉte,defence
ntàg nzèm,defence lawyer
sàʼ ntsaŋ,defence lawyer
ńtág nzèm,defend
ntàŋ,defender
ntàg nzèm,defender
ntàŋa,defender
nkẅè ntáŋ,defender
ńzsozso,definitively
ḿbyagte,deflate
ńzẅɛʼɛ,deflate
ńgwɔʼte,deflate
sèle nzsè,deflection
leselé nzsè,deflection
gʉ̀ŋe nzsè,deflection
ésyag,defoliate
ńtéŋte,deform
ńgʉ́ŋe,deform
ńgáŋa pwó,defy
ńtẅidte,dehydrate
ńdáte,delay
ńnyíme nyime,"delay, without"
ésáŋ,deliberate
