ngiemboon,en
cʉ̀cʉ̀ʼ,movement
cʉ̀cÿò,sp. insect
cʉ̀cÿò,k. sickness
cʉ́cÿɔ́d,sp. black or brown mosquito
cʉ̀cÿɔ̀gɔ,caterpillar (generic)
cʉ̀cÿɔ̀gɔ kaafé,tiny black caterpillar that eats coffee leaves
cʉ̀cÿɔ̀gɔ lefaŋ,borer
cʉ̀cÿɔ̀gɔ mentÿo,caddisfly
cʉ̀cÿɔ̀gɔ ngesáŋ,sp. caterpillar
cʉ̀me,depot
cʉ̀me, warehouse (where one leaves things)
cʉ̀me ngyè,detonation
cʉ̀me ngyè, explosion
cʉ́ŋ,very acidic
Lámásè we cÿɔ̌g lê cʉ́ŋ.,Its orange is very acidic.
cʉŋ nzẅìŋ,double-dealer
cʉŋ nzẅìŋ, disappointing
cʉŋ nzẅìŋ, double-dealer
cʉŋ nzẅìŋ,stain
"Lenuŋe nzwě fɛ̌ gù, á kwàʼ cʉ̀ŋe nzẅìŋ.",Having sexual relations with your brother's wife is a serious defilement.
cʉ̀ŋe nkáb,waste
"Legwé nziŋte ziŋté, áa kwàʼ cʉ̀ŋe nkáb.",Funeral ceremonies are really a waste.
cʉ́ʼ,from behind
cʉ́ʼ, after
Cʉ́ʼ ńdíe penkʉ́ mboŋó.,"From behind, keep a close eye on the children."
cʉ̀ʼʉmáʼ,second-hand clothes
cʉ̀ʼ,second-hand clothes
cʉ̂ʼ,very bitter
Affo ŋwɛ́ lẅe lê cʉ̂ʼ páʼ mekáŋ la.,The remedy is very bitter like Vernonia.
cʉ́ʼ múɔ lyé,tilapia
cʉ́ʼ pɛ́ʼɛ̀,thanks
cʉ̀ʼʉ,no longer
Cʉ̀ʼʉ ńgÿo mmó yɛ̀.,Don't do this anymore.
cʉ́ʼʉ ... wɔ́,no longer
Apɔ̀ɔn ya cʉ́ʼʉ pǐ wɔ́.,That bag is no longer outside.
cʉ̀ʼ,second-hand clothes
cʉ̀ʼʉmáʼ,second-hand clothes
cʉ̀ʼʉnzàʼa,one of eight days of the traditional week
cwóŋ,very bad
Legwaʼá kʉŋe sɔɔn leme lê cwóŋ.,This trash can smells very bad.
cwóŋ,pile
cwoŋo njúʼ,reminder
"Mé shwǒŋ tà mé ée fʉ̀ʼɔɔn, ńgwɔ́ tsɛ̀ɛ cwoŋo ńjúʼ.","We have spoken until now, we are on recall."
