ngiemboon,en
ntẅè mmó,writer
ńtẅéte,have scattered tasks
ńtẅɛ,be clean
ńtẅɛ́te,embody
ńtẅɛ́te, incarnate
ńtẅɛ́te, connect
ńtẅɛ́te, start a revolt
ńtẅi,dry out halfway
ńtẅi, heat up to dry out
ńtẅi,roast
ńtẅí,tighten the screw
ńtẅí, turn
ńtẅí, wring
ńtẅí, twist
ńtẅí,gesticulate
ńtẅí, twist
ńtẅí,meander
ńtẅí, twist 
ntẅi ntẅɛ,maggot
ńtẅile,graze oneself
ńtẅid,graze oneself
ńtẅile,hurt oneself in several places
ńtẅid,hurt oneself in several places
ńtẅile,dehydrate
ńtẅid,dehydrate
ńtẅile,to skin oneself
ńtẅid,to skin oneself
ńtẅile,hurt yourself in multiple places
ńtẅid,hurt yourself in multiple places
ńtẅid,graze oneself
ńtẅile,graze oneself
ńtẅid,hurt oneself in several places
ńtẅile,hurt oneself in several places
ńtẅile,remove the pulp
ńtẅile, peel
ńtẅiʼ,walk with a stick
ńtẅiʼ, support each other
ntyè,stop
ntyè, place
ntyě,height
ntyě,duration
ntyě,distance
ńtyé,stop
ńtyé,stop
Pɔ́ tyeté ncwò ndá.,They stood in front of the door.
ńtyé,stand
ńtyé, park
ńtyé,to stand
ńtyé, place oneself
ntyě lepfòm,dimension
ntyě lepfòm, extensive
ntyě lepfòm, size
ntyè mvfò,manager
ntyè mvfò, leader
ntyèen,k. construction implement for a secret compartment
Mé kwɛ̌ ndá láʼ tà ḿbéŋe ncwò lê ntyèen.,We built the traditional house until crossing the entrance with the bamboo pith.
ńtyɛ́,remove all stains
À sɔ̌g menzsǒ mé tà ńtyɛ́.,He washed his clothes until they were scoured.
ńtyɛ́b,insult
ńtyɛ́b,insult
ńtyɛ́b,knead
ńtyɛ́b,knead
ńtyɛ́b, mix
ńtyɛ́te,screen
ńtyɛ́te, sort
ńtyɛ́te, select
ńtyɛ́te,sort 
ńtyɛ́te, select
ntyɛʼɛ́,branches
ntyɛʼɛ́,intersection
ntyɛ̀ʼte,boy scout
ntyɛ̀ʼte, determiner
ntyɛ̀ʼte, guide
ńtyɛʼte,point out
ńtyɛʼte, guide
ńtyɛʼte, explain
