ngiemboon,en
ngʉ̀a,multiplication
lekẅiʼi ngʉa ngʉ̀a,multiplication
lekyě,lye
lekyě, acid from cinders
lekyè mmɔ́g,home
lekyè mmɔ́g, hearth
lekyɛ̌,outside layer of bamboo
lekyɛ̌ kúkwò,thorn
lekyɛ̀bɛ,awkwardness
lekyɛ̀bɛ, clumsiness
lekyɛ̀bɛ, negative
lekyɛ̀bɛ,opposite
lekyɛ́ʼtè,explanation
lekÿò,running
lekÿò, race
lekÿò,net
lekÿò,goalkeeper
lekÿò,goal
lekÿò, aim
léláa,persistent
"Léláa guɔ, aa ńzẅé nyìŋ.",A persistent illness can kill someone.
lelàb,sp. weed
lelàb kénáŋ,dodder
lelàba mbâmbǎ,hairy woodrose
lelàg shúm,harvest
lelàg shúm, crop
ngáb,pineapple
lelaŋ,pineapple
lelaŋ,aloe vera
lelaŋ ngẅi,giant carrion flower
lelaŋ ntse,sp. weed
lelaʼá,dormitory
lelaʼá,home
lelemé,"k. slit-gong, very large, laid horizontally on the ground"
lelèŋ,sight
lelèŋ, viewfinder
lelʉŋé,ring
lelʉŋé, buckle
 lelʉŋé pwó,ring
 lelʉŋé pwó, buckle
leleŋé,ring
leleŋé, buckle
lelʉŋé,phalanx
 lelʉŋé pwó,phalanx
leleŋé,phalanx
leleʼé,day nursery
leleʼé, nursery school
lelèʼe,appointment
lelèʼe, meeting
lelèʼe, promise
