en,ngiemboon
nkʉ̀ʼʉ,surprising thing
ńtÿɔ́ʼ,surround
ńtÿɔ́ʼte,surround
nkekéle,surroundings
ńgyéte,suspect
ńdéʼe,suspend
ńkile,"suspended, be"
ḿmi,swallow
mìi,swallower
ntsàwà,swallow 
ḿmite,swallow quickly
lǎg,swamp
mânkɔ́ʼ mêngwé,swamp morning-glory
ńnáte,swank
sém,swarm of bees
ńkwéʼe wétá,swear
ńkʉa,swear
ńdaŋa tsetsáʼ,swear
ńzáʼ nkwèen,swear
ńziʼi,sweat
zìʼi,sweat
nzsǒ fÿág,sweater
ńjÿɔg,sweep
ndʉm,sweet
nzìbte,sweet
mbòŋmbôŋ,sweet
mbàŋte,sweet
ńdʉm,"sweet, be"
ńdʉmte,"sweet, be a bit"
ńtsẅaga tsẅaga,"sweet, be less"
nzìbte,sweetmeat
mânkɔ́ʼ féfɔ́gɔ,sweet potato
ńkíŋte,sweet-talk
