en,ngiemboon
e,I
m,I
n,I
ńkwa,"idea, have"
ndàŋnditê,identity
pìŋe lé nzèm,idiot
ntsentsɔɔn,idiot
kʉ̀kʉ̀,idiot
pupú,idiot
ŋáʼ ncwò,idiot
nkɔ̀ɔnte,idiot
ńgʉe,"idiot, play"
ńgebe,"idiot, play"
ńgʉbe,"idiot, play"
nzǎg ngě,idle
tútú,idol
kà,if
ńgwéʼe,if
ńzɔɔn,if
lɔɔn,if
kála,if
ńdɔɔn,if
ndɔɔn,if
ńgwɔ páʼɔɔn,if beforehand
ńgwɔ́ gie,if ever
tà mbà,if not
éfele,"ignorance, be free of"
kwé té zsé,ignorant person
mbùd,ignorant person
ḿmoŋe,ignore
tsɔ́ʼ mémbàba,ill-matched outfit
nkÿonkÿo,illusion
te-,im-
jʉ́jʉ́ŋ,image
ńkwaŋte,imagine
gʉ̀gʉ̀,imbecile
ntsentsɔɔn,imbecile
ŋáʼ ncwò,imbecile
pàʼ nkwʉŋ,imbecile
pàʼ,imbecile
ńdʉŋte,imitate
ńdeŋte,imitate
ésate shÿó,imitate
éfʉʼʉ,imitate
lèŋte,imitation
lʉ̀ŋte,imitation
ndʉ̀ŋte,imitator
ngàŋa lʉ̀ŋte nnɛ́,imitator
ndèŋte,imitator
fʉ̀ʼʉ,imitator
lyág,immature
pɔ̀gɔ,immature
nyɛ̀ʼɛ,immature
tẅɛ́ péli,immature groundnut
