ngiemboon,en
fúʼtè,bushy
fúʼtè, complex
fʉ́,sleeve
fʉ̀,blind person
fʉ̀,constipation
fʉ̌,shinbone
fʉ̌, tibia
fʉ́a,spear handle
"Tè nyé lekwoŋ, ḿbwɔ́ʼ fʉ́a.",Don't let the spear break the handle.
fʉ̀a,bar-breasted mousebird
fʉ̀a, speckled mousebird
mù,"""bachelor"" (a unique vertical strip that results in an alternating weave when weaving a basket)"
fʉ̌a,"""bachelor"" (a unique vertical strip that results in an alternating weave when weaving a basket)"
Mé těen ḿbáʼa túŋ té néŋe fʉ̌a wɔ́.,You don't weave a basket without introducing a singleton.
fʉ̀a mbʉ̌,offender
fʉ̀a pwó,mistake
fʉ̀a pwó, error
"Á gwɔ́ pɔ́ fʉ̀a pwó, ń kɔʼɔ́ te ne ńzsé wɔ́.","It's a mistake, I didn't know."
fʉ̀ate nò,sinner
Pʉ̀a mesoŋ ntsèm pú ńgwɔ́ pɔ́ pafʉ̀ate menò.,Men are all sinners.
fʉfʉ̌ŋ,ulcer
fʉ̀ŋ,prohibition
Ankěme fʉ̀ŋ kwě láʼ tà nzse zye.,The notable of prohibitions died so that the taboo began.
fʉ̀ŋ,frontier
fʉ̀ŋ, trench
fʉ̌ŋ,wound
fʉ́ŋe,sp. fly that bites
fʉ̀ŋe,frontier
À gʉ̌a tà ńkúu fʉ̀ŋe láʼ.,He went to the edge of the village.
nzèle ngẅi ,anthill
nzèle ngẅi , termite mound
 ndá sɔ̀ɔn,anthill
 ndá sɔ̀ɔn, termite mound
fʉ̀ŋe sɔ̀ɔn,anthill
fʉ̀ŋe sɔ̀ɔn, termite mound
fʉ́ŋeméntoŋ ngesáŋ,horsefly
fʉ̀te,trickery
fʉ̀te, deception
fʉ̀ʼ,measure
fʉ̀ʼ, measurement
fʉ̀ʼ,moment
fʉ̀ʼ, time
fʉ̀ʼ ncʉ̀e,scales
fʉ̀ʼ nèm,hour
fʉ̀ʼ njÿó,calendar
