ngiemboon,en
"Cʉ̀apʉ̀a, te lege mmó"," Lord, remember what has happened to us."
"Etÿɔgɔ́ wég gẅie ɔ̀ la ná, é kéen ńcʉ́ʼ we megʉ̀,","Our inheritance has been turned over to strangers,"
"Metá pég té gíŋ ńgwɔ́ wó wɔ́,","We have become orphans, fatherless;"
"Peg ne ńgwaa ne núu kwàʼ ntse wég,",We must pay for the water we drink;
"Epʉ̀a pie é ne ńnyɛɛ wég ngɔ́ʼ, é té ne ńtsɔ́ʼɔ mbwó na peg wɔ́.",We are closely pursued;
"Peg cʉʼʉ́ ńtsege pwó ńnáa pɔ́ Egíbtò,",We made a treaty with    Egypt
"Metá pég la fʉate menò,","Our ancestors sinned; they no longer exist,"
"Menkwɔɔn zɔ̌ cʉ́ʼʉ ésáʼa wég,",Slaves rule over us;  
"Peg lɔɔn ńgee ńgẅiin mmó léjÿó,",We secure our food at the risk of our lives
Nzyè gyáŋa wég gyǎŋ,Our skin is as hot   as an oven  # 5:10 Lm 4:8
"Megàŋmbù pég lɔ̌g tʉ̀, ńnuŋe panzwě tsɛ̀ɛ Siyoŋ,","Women have been raped in Zion,"
"Pɔ́ kéen ńgwoon meŋwǎláʼ ńcʉŋe wɔ́b tÿǒ,",Princes have been hung up by their hands;
"Ngwàshùm ne ńkaa ngwɔ̀ʼɔ lùŋo gẅie mé lɔgɔ ńgwɔʼɔ mmó,",Young men labor at millstones;  
"Melÿò té gíŋ ńne ńcúʼte ncú tÿǒsoŋ wɔ́,","The elders have left the city gate,"
"Lekág kéen ḿmaga ntʉ́m peg,",Joy has left our hearts;  
Acÿɔ̀ʼɔ lefùɔ kéen fó twó peg ńtsɔ́ʼɔ ńgwe ssé.,The crown has fallen from our head.  
"Á cʉa púʼu, ntʉ́m wég ne ńgyáŋa,","Because of this, our heart is sick;"
"Á zɔɔn ńgwaa gwɔ́, mbà lekwɛ́ Siyoŋ","because of Mount Zion, which lies desolate"
"Táʼ, gù Cʉ̀apʉ̀a,","You, Lord, are enthroned forever;"
"Tà à lɔɔn ńgwɔ́, ɔ̀ pú ńdege wég,","Why do you continually forget us,  "
"Cʉ̀apʉ̀a, gÿo peg gíŋ ḿbiŋe mbwó gù,"," Lord, bring us back to yourself, so we may return;  "
Tà áa kwàʼ nénʉ́ ngie ɔ̀ ka pú ńgwáʼa wég pɔ́ ndàʼndàʼ la?,unless you have completely rejected us
