ngiemboon,en
kàlasôŋ,boxer shorts
kàlasôŋ, bathing slip
kàlasôŋ, bathing suit
selîb,boxer shorts
selîb, bathing slip
selîb, bathing suit
selʉ̌,rotten (qualifying class 5 and 8 nouns)
À pfɛ̌ lelÿɔʼ selʉ̌.,He ate the rotten yam.
selÿò,great (modifies class 5 and 8 nouns)
sém,swarm of bees
sém,twin raffia shoots
sém, bifurcated raffia shoot
sém,frontier
sém,trench
sèm,drum (generic)
sêm,sound of a tree falling
"Mé kɔʼɔ́ máa tӱǒ, á gwe lê sêm.",We cut down a big tree and it fell with a “sêm” noise.
sèm ncwò,royal army
semíd,cement
semâg,cement
sembǐ,available (qualifies class 5 and 8 nouns)
Lelÿɔʼ sembǐ sɔɔn.,Here is the takeable yam.
sembòŋo,better (modifying nouns from classes 5 and 8)
"Kaa lelÿɔʼ sembòŋo, ńdeʼe.",Carries the best yams to keep.
sembÿag,raw
sembÿag, uncooked (qualifying nouns from classes 5 and 8)
"Mèŋ n ge nkẅì, ɔ̀ náa lelÿɔʼ mbÿag ngie ngáa?","I'm single and you give me the raw yam, what should I do?"
semâg,cement
semíd,cement
sendyɛ̀ʼɛ,certain
sendyɛ̀ʼɛ, other (modifying class 5 and 8 nouns)
"Lesoŋ sɔ́ɔn ka ne ńgyáŋa, mé nyé sɛ̌, ńtsɔ́ʼ sendyɛ̀ʼɛ.","When my tooth hurt, we left this one to remove the other."
sépʉ́a,two (modifying nouns from class 8)
sésá,secateurs
sésá, very large scissors
légʉ́a,too much
séság,too much
"Ɔ̀ lɔɔn ńkÿo séság, mbà  ngwɔ́ ɔ̀ gwe.","If you run too much, you can fall."
sèsàga,long
sèsàga, gigantic
À pfǒ sèsàga nzsè.,He has come a long way.
sesáŋ,broom
sésáŋ ngwóŋ,wagtail
sésáŋ ndùm ngwóŋ,wagtail
sésáŋ ndùm ngwóŋ,wagtail
sésáŋ ngwóŋ,wagtail
sésáŋ nku,sp. insect
sèsàʼ,spark
sèsàʼ,cock’s comb
sèsàʼ kwɔb,rusty sedge
sèsàʼ kwɔb, fingerrush
