en,ngiemboon
nkẅɛ́tè,vice
nzèm ntsèm,vice-versa
ndÿòon,"victim, accident"
ndʉ̀ŋe,viewfinder
ndèŋe,viewfinder
lelèŋ,viewfinder
ńzɔɔn ńgwaa gwɔ́,"view of that, in"
jʉ́ʼ kʉŋ,vigil
legwɔʼɔ́,vigilance
legwɔgɔ́lɔ́g,vigilance
ndʉ̀ndʉ̀ nnɛ́,vigour
ndʉ̀ nnɛ́,vigour
láʼ,village
ngàʼ pa láʼ,"village, developed"
lepfó,village neighbourhood
nyìŋe láʼ,villager
ndálè,"vine, rubber"
njwò kwɔb legǐ,"vine, sp."
mânkoŋ kéloŋ,"vine, sp."
mângoŋ kéloŋ,"vine, sp."
kwɔb,vineyard
ńgúɔ,visit
ńgúa,visit
legúa,visit
legúɔ,visit
fòŋ,visitor to sick people
éfóŋ,visit someone sick
mbàŋte,vitamin
mvfě,"vitex, sp."
mvfǒ,"vitex, sp."
ngyè,voice
ḿbúʼu,"voice, lose"
ńkʉŋte,"voice, raise"
njúngù,"volcanic rock, k."
nkentsyɛ̀ʼ mbwó,volleyball
