en,ngiemboon
ngʉŋ lekùa,quadrilateral
ngʉ̀ngʉŋ,quadrilateral
tsɔ̀ʼɔ kwɔb,quail
tsɔ́ʼ mbím,quail
menti mentí,"qualities, several"
lùa,quality
lùɔ,quality
ntí,quality
lìŋe,quality
lìi,quality
pile,"quantity, minimal"
ményaŋ,"quantity, very small"
ńtsɔ́ge,quarrel
zòŋ,quarrel
gyáŋa lóŋ,quarrel
lepÿé,quarry
kìb,quarter of beef
meŋwʉŋé,quartz
mváŋ,quartz
mɔ̌ɔn nɔʼ,queen
nzwě kěm,queen
lekwoŋ ntswáʼa mefùɔ,"queens, spear for dancing"
ésẅága gág,quench one’s thirst
ńzɛ́te,question
ḿbíge,question
píge,questioning
ù gu gu,"questioning, recall"
ka,question mark
leen,quickly
ńdeen,quickly
ńdwo,quickly
ńdáŋa,"quiet, be"
ńdáŋte,"quiet, be"
ńnyébe,quietly
ńcÿé jʉʼ,"quiet, stay"
ésag,quote
ńtʉ́,quote
ńteŋ,quote
