ngiemboon,en
zà,embezzlement
zà, fraud
zà, embezzlement
zà pàb zà pàb,
Pɔ́ giŋe le zà pàb zà pàb páʼ púɔ ngùɔ pie pɔ́ jÿɔ́g cúa páb la!,They walk “zà pàb zà pàb”  like young girls wearing sandals!
zɔɔn mòon,majesty
zaa mòon,majesty
zàb,mallet
sessò sẅǐŋ,red-collared widowbird
zàkwɔ̀ʼ metoŋ,red-collared widowbird
zàʼ,patience
zàʼ,time
"Zàʼ cʉ̌a, te gíŋe ńgʉa.","It's past time, don't go anymore."
zàʼa cʉ̀a,late
zàʼa cʉ̀a, at an unearthly hour
"Ɔ̀ lɔɔn ńgʉa tsẅɛ, tè kwɔ́ʼɔ zàʼa cʉ̀a.","If you go to the field, don't come home late."
záʼa nzsè,short cut
záʼntɔ́ɔn,k. disease
záʼŋwoon,syphilis
zêm,very black
Azoon síŋe lê zêm.,The safou is very black.
zéme,philosophy
zéme, politics
zème,frontier
zème,deep place in the water
zème ntse,bowl
zème ntse, wash-bowl
zémte,informing
zèŋe,curing
zèŋe, healing
zèŋe, recovery
Essé ge náa zèŋe á mbwo gù na guɔ jú yɛ̂.,God will give you healing for your illness.
zèŋe,no
Azèŋe yɔ́ɔn me.,No me!
zèzàb,fibre dance skirt
zʉzsó,abscess with pus
zezsó,abscess with pus
zèʼe,vomit
zɛ́,stools
zɛ́, poo
zɛ́, excrement
zɛ́, droppings
zɛ́, bird droppings
zyéen,development
zí,development
zǐ,door front
