en,ngiemboon
ntʉ́ʼ,kadi
ngwò,kadi
shwóŋò pʉa shÿó Bɛgtùa,Kako language
mbwǒon,kaolin
shùshwòŋo mêngwe,"kaysuma grass, sp."
ńdeʼe,keep
ńkúʼte,keep
ḿvʉʼʉ,keep
éfwoon,keep
ḿbíle,keep
ńdyeen,keep
éfoo lepfo,keep cola in basket
éffo lepfo,keep cola underground
ńzáʼte,"keep, search"
gɔ̀ɔn ńgÿo,"keeps his promises, person"
kí,key
tsɔ̀ʼɔ kí,key
cʉ̀cʉ̀ŋ,kid
múɔ mémúɔ,kid
múɔ mvfó,kid
sàʼa,kid
ńzẅé,kill
ésẅɛ,kill by occult means
ńnẅíʼi,kill by small fires
ńnẅéʼe,kill by small fires
nzẅè,killer
mbyàga,killer
fÿɛ́,killer
mbàʼ,killjoy
ésɔbte,kill one another
lʉ̀te ngwa,"kills while laughing, one"
kílòmità,kilometre
ntɔ́gè,kind
lʉ̀a,kind
mboŋó,kindness
fùɔ,king
ntɔ́ʼ,kingdom
tÿǒ lepwó,kingdom of heaven
tòŋ ncwò,kingfisher
tétúŋ nkʉŋ,kingfisher
túŋ nkʉŋ,kingfisher
