ngiemboon,en
twókɔ̀ɔn,k. hat
twókɔ̀ɔn,k. condiment
tẅag,sound of a jigger that explodes
À sẅě kúkwò tà á gӱo le tẅag.,He killed the quid until he made that “tẅag”.
tẅɛ́,sp. big and fat mushroom
tẅɛ̀,cleanliness
tẅɛ̀, elegance
tẅɛ́ péli,immature groundnut
tsɛ̀ɛzsǒ ,noon
 tʉ̀zsǒ ,noon
 táŋazsǒ,noon
tẅɛ̂b,noon
tẅɛ̂b lêtsẅɛ́ʼ,midnight
"A ně ńtó na twɛ̂b lêtsẅɛ́ʼ, ḿbúʼte ncwò ndá.",He came at midnight and knocked on the door.
tẅítè,winding
tẅítẅǐ,problem
tẅítẅǐ, annoyance
tẅìʼ,crutch
tẅìʼ, support
tẅìʼ, stick
tsyàg,drop
tsyàg, little
tyàg,drop
tyàg, little
tyèen,reason
tyeente,since
tyeente, from
tyenkwé,sp. bean
tyéntsem,sp. small black bean
tétyé nkwɔ̀ʼ,statue
tyétyé nkwɔ̀ʼ,statue
tyɛ́b,one who insults
tyɛ́b, good-for-nothing person
fègte,difference
tyɛ̀ʼte,difference
tyɛ̀ʼte,guide
tyɛ̀ʼte, indication
tyɛ̀ʼtendù,dictionary
tÿèen ,iron 
 hányàŋ,iron 
tÿè,iron 
tÿè ,iron 
 hányàŋ,iron 
tÿèen,iron 
À ne ńdɔgɔ tÿèen ńcÿo menzsǒ.,He is ironing his clothes with the iron.
tÿǒ,tree 
tÿǒ,picket
tÿǒ tsɔ̀ɔn nzsó,red-leaved fig tree
tÿǒ cʉ̀a nzsó,red-leaved fig tree
