ngiemboon,en
"Lelɔgɔ shwóŋè mbʉ́lè pʉlé ńtsɔ́ʼɔ nò à kwɔgte melóŋ, tá shwóŋè sɔbte sɔbte ké ḿbʉ́ʼte gyáŋalóŋ pʉ́ʼte.","A gentle answer turns away anger,  "
"Ashwóŋè zsénò zɔ̌ gÿo mé kwoŋo lézíʼi mmó gie mé ge zsé, tá megʉ̀gʉ̀ ké kẅile pɔ́ menò pʉ̀a ncwò pɔ́b.","The tongue of the wise makes knowledge attractive,"
"Menÿɔ́g Cʉ̀apʉ̀a ée nzɔ̌ nzɔ̌, à ne ńdíe pʉ̀a tepòŋ lâ pe membòŋo.","The eyes of the  Lord are everywhere,"
"Ashwóŋè lɔg ńkẅiŋte, áa páʼ tÿǒ gie á náa legwɔ́ wó táʼ, nyìŋ gẅie à gẅiin shwóŋè sɔbte, á lɔg ńnéŋ pɔ́ fʉ̌ŋ ntʉ́m nyìŋ.","The tongue that heals is a tree of life,  "
"Nyìŋ gẅie à gwága nò gie tá we lɔgɔ ńtÿɔ́gte yé, aa gʉ̀gʉ̀, nyìŋ gẅie à piŋ ńzẅíŋ ngie mé kaga yé, á gwɔ́ nzsènò.","A fool despises his father’s discipline,"
"Nyìŋ gẅie aa ngàŋa nò nénʉ́, afùʼ kúu ndá yé tɛʼ. Ngɔ́ʼ zɔ̌ piŋ ńgwɔ́ na shúm fùʼ sie nyìŋ tepòŋ lɔgɔ gáte ńgẅiin.","The house of the righteous has great wealth,"
"Meshwóŋè zsénò gÿo mé zsé mmó, táʼ, atsɔ́ nò mbòŋo té kẅɛɛ tsɛ̀ɛ ntʉ́m nyìŋ gẅie aa gʉ̀gʉ̀ wɔ́.","The lips of the wise broadcast knowledge,"
"Eshúm pwɔʼ nyìŋ tepòŋ, ée mvfò Cʉ̀apʉ̀a, ńgwɔ́ pɔ́ ntʉ̀ nò tepòŋ, táʼ, à kě ńkwoŋo sẅíŋte pʉ̀a pie ée ngàŋa nò nénʉ́.","The sacrifice of the wicked is detestable to the  Lord,  "
"Megiŋé pʉ̀a tepòŋ, ée mvfò Cʉ̀apʉ̀a, ńgwɔ́ pɔ́ ntʉ̀ nò tepòŋ, táʼ, à kwoŋ pʉ̀a pie é nɔ́ɔnte nò gie áa nénʉ́.","The Lord detests the way of the wicked,"
"Mé ge gÿo záb ngɔ́ʼ twó nyìŋ gẅie à gwáʼa mánzsè mbòŋo. Nyìŋ gẅie à te kwoŋ ngie mé tÿɔ́gte yé wɔ́, à ge gÿo kwé.",Discipline is harsh for the one who leaves the path;
"Páʼ Cʉ̀apʉ̀a zsé mmó gie áa nzèm ssé, á láʼ mepfó la, tà ngʉ̀a shÿɔ́ʼɔ na yé lezsé nkwaŋá pʉ̀a mesoŋ!",Sheol and Abaddon lie open before the  Lord     —  
"Nyìŋ gẅie à gẅe pʉ̀a, à te kwoŋ ngie mé kaga yé wɔ́, à te zɛ́te ntÿɔgɔ́ mbwó nzsènò wɔ́.",A mocker doesn’t love one who corrects him;  
"Lekág aa ntʉ́m nyìŋ, ńgÿo eshÿó wé kyɛ́ʼɛ, lemÿɔ̀g lɔɔn ńké ńgwɔ́ tsɛ̀ɛ ntʉ́m yé, mbà shÿó wé ge kwé kwé.","A joyful heart makes a face cheerful,"
"Nyìŋ gẅie à gẅiin legye, à kag tʉ̀ lézíʼi mmó ńzsé, táʼ, agʉ̀gʉ̀ kẅile pɔ́ meshwóŋè gʉ̀gʉ̀ ncwò yé.","A discerning mind seeks knowledge,  "
"Alyɛʼɛ́ mbòŋo té wó mbwó mbóŋ wɔ́, táʼ, nyìŋ gẅie lekág aa ntʉ́m yé, à néŋe ńjÿó yé pɔ́ línɔ̀ɔn.","All the days of the oppressed are miserable,"
"Mbòŋo aa legẅiin mmó á kuʼ kuʼ, ḿbiŋ ne ḿbɔ́gɔ Cʉ̀apʉ̀a, ńcʉa legwɔ́ ngàŋa mmó tɛʼ, lemÿɔ̀g piŋ ńgwɔ́ tsɛ̀ɛ ntʉ́m yé.",Better a little with the fear of the  Lord
