en,ngiemboon
mentoŋ,leaves from the tops
ndolé,"leaves, ironweed"
nzab meffo kasálà,"leaves, manioc"
mentoŋ,"leaves, melon"
gʉ̀a,leaving
lekẅɛ̀,leaving
ńcʉ́me mánzsè,"leaving, start"
kèmùʼu,leech
pùalô,leek
pwó kyɛ̀bɛ,left hand
nkyɛ̀bɛ,left-handed
nkìbɛ,left-handed
ngàŋ mbìŋe,leftist
kàcÿò,leftover corn couscous
tsyèen,"leftovers, things squeezed"
ngàŋ mbìŋe,"left-wing tendencies, with"
nkyɛ̀bɛ,lefty
nkìbɛ,lefty
ntàga kwò,leg
ntɔ́ɔn kwò,leg
púʼ kwɔb,legend
ńkẅíɛ,"legs, cross one’s"
sitolóŋ,lemon
fipà ngalásè,lemongrass
fipà ngalásè,lemon leaf
tÿǒ sitolóŋ,lemon-tree
éfu,lend
ńzáʼte,lend
ńzáʼ,lend
lesàg,length
ńjwoŋ,lengthen
ńjwoŋte,lengthen
