ngiemboon,en
vǎd ,very fast
 kǎd ,very fast
 gǎd ,very fast
 vàg,very fast
fím,very fast
"Matûa cʉ̌a lǎŋ lê fím, tà cʉ́ʼʉ méjʉʼ vɛ́ mbùmo nò kẅɛ.",The car passed so quickly that there was almost an accident.
sẅǐŋ,raffia fibre
fǐŋ,raffia fibre
fipà ngalásè,lemongrass
fipà ngalásè, lemon leaf
Mé ge kẅiʼi fipà ngálásè na ffo lÿɔ̀g nnɛ́.,We will add lemongrass to the malaria remedy.
fó,all the same
"Fó ńtúmo tàʼ nyìŋ ne mèŋ, à kẅéte wɔ́ɔn.","Send me someone anyway, he will help me."
fó ... lâ,all the same
Fó ńtó lâ.,Come anyway.
fùbe,filth
fòbe,filth
fùbe,film
fòbe,film
foffó,anthill
foffó, sacred site
feffò,executioner
foffò,executioner
nzab sẅísẅé,spiny amaranth
fólóŋ,spiny amaranth
fóm,strong wind
fóm, tornado
fòm,old place
fòm,abandoned concession
fème,dirtiness
fème, dirt
fème, excrement
fòme,dirtiness
fòme, dirt
fòme, excrement
fòmo,mould
fómtè,pride
Afómtè yé cʉa ye tá we.,His pride surpasses that of his father.
fòŋ,cow 
fòŋ,visitor to sick people
"Tsɔ́ méguɔ kwé, ńzága fòŋo.",Some patients die from lack of visitors.
fóon,canary
fɔ̀b,sp. beetle
fɔ̀bɔ njʉʼ,unripe pistachio nut
fɔ̀bte,oedema
fɔ̂d,mistake
fɔ̂d, fault
fɔ̂d, error
fɔ́g,co-wife
fɔg njÿó,dawn
fɔ́gɔ,white
fɔ́gɔ, off-white
À gwǎa gʉa cÿɔ́ɔsè ḿmaʼa fɔ́gɔ nzsǒ.,"Before going to church, he wore a white habit."
fɔ̀gɔ,food without sauce
fɔ̀gɔ,food without oil added
fɔ̀gɔ,empty
A ne ńjÿó mesaŋá fɔ̀gɔ.,He eats the couscous without sauce.
