ngiemboon,en
ŋàg,judgement
ŋàŋa,thin
ŋàŋa, skinny
ŋàŋa, lean
Pɔ́ nǎ tsɔ́ ŋàŋa mêngwé né mèŋ.,They gave me a skinny dog.
ŋâŋǎ,pied crow’s cry
ŋátè,twisting
ŋátè, torsion
ŋátè,diversion
ŋátè, embezzlement
ŋátè, injustice
ŋátè, iniquity
ŋáʼ ncwò,imbecile
ŋáʼ ncwò, idiot
ŋáʼ ncwò,k. condiment
ŋáʼtè,spacing
ŋáʼtè,boastfulness
ŋège,strength
ŋège, force
ŋège, movement
ŋège, gesture
ŋège, effort
A gǔɔ tà tsɔ̌ meŋège té gíŋe ńgwɔ́ wó wɔ́.,He has been sick so much that he no longer has any strength.
ŋʉŋÿá,pied crow
ŋeŋɛ́,pied crow
ŋeŋɛ́,pied crow
ŋʉŋÿá,pied crow
ŋwa,giant intestinal roundworm
ŋwá letuŋó,hearing
ŋwa lezẅé,vomer
ŋwà ntsyág,disorderly
ŋwà ntság,disorderly
ŋwà ntság,disorderly
ŋwà ntsyág,disorderly
ŋwáláʼ,minister
ŋwáláʼ twó mbúm,Prime Minister
Ŋwáláʼ twó mbúm ne ńtóŋo meŋwáláʼ.,The Prime Minister calls the ministers.
ŋwàʼ,k. mourning outfit
ŋwàʼne,book
ŋwàʼne, letter
ŋwàʼne mezíŋ,register
ŋwàʼne mezíŋ, list
ŋwàʼne Ssé,Bible
meŋwàʼmeŋwàʼ,multi-coloured
meŋwàʼmeŋwàʼ, camouflaged
meŋwàʼmeŋwàʼ, mult-coloured
ŋwàʼŋwàʼ,multi-coloured
ŋwàʼŋwàʼ, camouflaged
ŋwàʼŋwàʼ, mult-coloured
Enzsǒ múɔ we ŋwàʼŋwàʼ.,The child's clothing is camouflaged.
ŋwéŋwelé,crumb
ŋwèʼe,letter
ŋwèʼe, book
